Transaction_ID,Date,Product_ID,Category,Payment_Method,Customer_ID,Name,Email,City,Region,Country,Customer_Type
6390,01/01/2021,13,Home,Credit Card,103,Jenny Grey,charlie@example.com,New York,East,USA,VIP
5426,01/01/2021,3,Home,Bank Transfer,100,Alice Smith,jenny@example.com,Los Angeles,West,USA,Returning
1769,01/01/2021,6,Electronics,Paypal,103,Fiona Green,george@example.com,Chicago,Midwest,USA,New
2184,01/01/2021,5,Accessories,Credit Card,100,Charlie Brown,jenny@example.com,Houston,South,USA,New
9666,01/02/2021,1,Electronics,Bank Transfer,103,Charlie Brown,hannah@example.com,Phoenix,West,USA,Returning
1189,01/03/2021,15,Accessories,Bank Transfer,101,Alice Smith,george@example.com,Philadelphia,East,USA,Returning
4556,01/03/2021,3,Home,Credit Card,105,Evan Black,evan@example.com,San Antonio,South,USA,Returning
9792,01/03/2021,4,Toys,Paypal,105,Ian Blue,alice@example.com,San Diego,West,USA,New
3612,01/03/2021,10,Accessories,Klarna,107,Fiona Green,hannah@example.com,Dallas,South,USA,VIP
1775,01/04/2021,13,Home,Bank Transfer,108,Hannah Lee,evan@example.com,San Jose,West,USA,VIP
8555,01/04/2021,8,Home,Paypal,107,Charlie Brown,diana@example.com,New York,East,USA,New
8989,01/04/2021,4,Toys,Paypal,100,Ian Blue,bob@example.com,Los Angeles,West,USA,VIP
5297,01/04/2021,2,Apparel,Bank Transfer,102,George Hill,diana@example.com,Chicago,Midwest,USA,Returning
7439,01/05/2021,14,Toys,Paypal,105,George Hill,ian@example.com,Houston,South,USA,Returning
5859,01/06/2021,9,Toys,Credit Card,100,Hannah Lee,bob@example.com,Phoenix,West,USA,New
1064,01/06/2021,15,Accessories,Bank Transfer,107,Bob Jones,jenny@example.com,Philadelphia,East,USA,New
6258,01/07/2021,8,Home,Klarna,105,Fiona Green,alice@example.com,San Antonio,South,USA,Returning
6892,01/07/2021,1,Electronics,Credit Card,100,George Hill,bob@example.com,San Diego,West,USA,Returning
9392,01/07/2021,7,Apparel,Bank Transfer,109,Diana White,bob@example.com,Dallas,South,USA,New
3731,01/07/2021,3,Home,Klarna,101,Hannah Lee,evan@example.com,San Jose,West,USA,New
2028,01/08/2021,1,Electronics,Paypal,105,Alice Smith,alice@example.com,New York,East,USA,Returning
1206,01/08/2021,9,Toys,Credit Card,109,Alice Smith,jenny@example.com,Los Angeles,West,USA,Returning
1863,01/08/2021,15,Accessories,Bank Transfer,107,Jenny Grey,hannah@example.com,Chicago,Midwest,USA,VIP
7374,01/09/2021,7,Apparel,Credit Card,104,Diana White,bob@example.com,Houston,South,USA,VIP
4157,01/09/2021,13,Home,Credit Card,100,Fiona Green,fiona@example.com,Phoenix,West,USA,Returning
3693,01/09/2021,5,Accessories,Bank Transfer,109,George Hill,evan@example.com,Philadelphia,East,USA,New
6450,01/09/2021,14,Toys,Credit Card,101,Bob Jones,bob@example.com,San Antonio,South,USA,VIP
2306,01/09/2021,1,Electronics,Credit Card,103,Fiona Green,jenny@example.com,San Diego,West,USA,VIP
5413,01/10/2021,9,Toys,Paypal,103,Evan Black,alice@example.com,Dallas,South,USA,Returning
2998,01/10/2021,8,Home,Bank Transfer,106,Fiona Green,fiona@example.com,San Jose,West,USA,New
6232,01/10/2021,4,Toys,Bank Transfer,101,Alice Smith,fiona@example.com,New York,East,USA,New
2636,01/11/2021,1,Electronics,Klarna,106,Jenny Grey,diana@example.com,Los Angeles,West,USA,Returning
5737,01/11/2021,2,Apparel,Credit Card,106,George Hill,hannah@example.com,Chicago,Midwest,USA,New
6249,01/11/2021,1,Electronics,Bank Transfer,106,Hannah Lee,ian@example.com,Houston,South,USA,Returning
5218,01/12/2021,8,Home,Bank Transfer,102,George Hill,diana@example.com,Phoenix,West,USA,New
8777,01/12/2021,4,Toys,Bank Transfer,105,Ian Blue,ian@example.com,Philadelphia,East,USA,Returning
5282,01/12/2021,9,Toys,Bank Transfer,105,Alice Smith,hannah@example.com,San Antonio,South,USA,New
2986,01/13/2021,3,Home,Klarna,103,Jenny Grey,evan@example.com,San Diego,West,USA,Returning
3976,01/13/2021,9,Toys,Klarna,100,Ian Blue,fiona@example.com,Dallas,South,USA,Returning
7616,01/13/2021,9,Toys,Paypal,108,Diana White,alice@example.com,San Jose,West,USA,New
1262,01/13/2021,3,Home,Bank Transfer,101,Bob Jones,evan@example.com,New York,East,USA,Returning
3049,01/14/2021,12,Apparel,Bank Transfer,108,Fiona Green,jenny@example.com,Los Angeles,West,USA,VIP
8158,01/14/2021,5,Accessories,Klarna,107,Evan Black,jenny@example.com,Chicago,Midwest,USA,New
7295,01/14/2021,4,Toys,Klarna,100,Charlie Brown,george@example.com,Houston,South,USA,Returning
6539,01/14/2021,8,Home,Bank Transfer,106,Charlie Brown,alice@example.com,Phoenix,West,USA,New
3961,01/15/2021,9,Toys,Klarna,109,Hannah Lee,jenny@example.com,Philadelphia,East,USA,New
9352,01/15/2021,9,Toys,Credit Card,102,Jenny Grey,ian@example.com,San Antonio,South,USA,Returning
